Feature,Importance
Destination Port,0.06838262183961702
Bwd Header Length,0.036443539886755846
Packet Length Mean,0.032672671797116803
Init_Win_bytes_forward,0.0276690778891844
Flow IAT Mean,0.027582442002088935
Average Packet Size,0.024040848363526025
Fwd Packet Length Max,0.022315558973500252
Init_Win_bytes_backward,0.02229711614675637
Subflow Fwd Bytes,0.021661460533384982
Flow IAT Max,0.021625110466502923
Bwd Packet Length Max,0.021448295374020567
Fwd Header Length.1,0.021426480085009206
Bwd Packets/s,0.02045442182411114
Avg Fwd Segment Size,0.02039084719373756
Flow Packets/s,0.020010963257526364
Fwd Header Length,0.019974706013567448
Flow Duration,0.019782912577183537
Fwd IAT Max,0.019686514895306748
Total Length of Bwd Packets,0.019467143536612684
Bwd Packet Length Mean,0.01916531005185702
Subflow Bwd Packets,0.01906791594808714
Flow IAT Std,0.01851702197251854
Subflow Bwd Bytes,0.018444022468695122
min_seg_size_forward,0.01792701456373935
Avg Bwd Segment Size,0.017726756040683352
Fwd Packet Length Mean,0.017690050373913486
Bwd Packet Length Min,0.017423166179073673
Total Backward Packets,0.01740916282906839
Subflow Fwd Packets,0.01685033219779276
Bwd Packet Length Std,0.01660647793166314
Fwd IAT Mean,0.01619417566547747
Total Length of Fwd Packets,0.015675707753467355
Fwd IAT Total,0.015319574188370244
Fwd IAT Std,0.015288978556079873
Packet Length Variance,0.015127655235622858
Flow Bytes/s,0.01468612677269452
Max Packet Length,0.014547583669201225
Fwd Packets/s,0.014497074939628882
PSH Flag Count,0.014081965094640176
act_data_pkt_fwd,0.013312322919131439
Packet Length Std,0.013191385233983353
Total Fwd Packets,0.01267190692499982
Bwd IAT Mean,0.012097907050954135
Active Min,0.011678160498987473
Fwd IAT Min,0.010284214754656722
Fwd Packet Length Std,0.009926037454642028
Bwd IAT Total,0.008943208006835391
Min Packet Length,0.008195794400125826
Bwd IAT Min,0.008085682643948886
Idle Min,0.007430425926322231
Idle Max,0.0070995242030349225
Bwd IAT Std,0.006773926724018667
Bwd IAT Max,0.006677365520199751
ACK Flag Count,0.0065464756835391545
Idle Mean,0.006252437709801662
Active Mean,0.006186764587673171
Fwd Packet Length Min,0.006075195591594895
Flow IAT Min,0.005332718100443528
Fwd PSH Flags,0.0029100436077779224
Active Max,0.0027645888840656797
URG Flag Count,0.002278679065374702
SYN Flag Count,0.0020691600938011288
Down/Up Ratio,0.001628886475105755
Idle Std,0.0008907854243051354
Active Std,0.0006663342529900715
FIN Flag Count,0.0004511980946374245
CWE Flag Count,6.507926574948035e-08
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
RST Flag Count,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
ECE Flag Count,0.0
Fwd Avg Bulk Rate,0.0
