Feature,Importance
Packet Length Mean,0.08781551037217283
Bwd Packets/s,0.08268677773631779
Bwd Packet Length Std,0.08061977933139525
Average Packet Size,0.05691825483900865
Min Packet Length,0.043150376689761
Max Packet Length,0.04271944535567991
Subflow Bwd Bytes,0.04101920426179204
Init_Win_bytes_forward,0.04013243131482631
Bwd Packet Length Max,0.03763723541852098
Bwd Packet Length Mean,0.03738180452842801
Avg Bwd Segment Size,0.03133070989506195
Packet Length Variance,0.03041712212143778
Packet Length Std,0.029919955026855852
Init_Win_bytes_backward,0.022854741119392202
Avg Fwd Segment Size,0.020353370697172968
Flow Bytes/s,0.020274569637053413
Bwd Header Length,0.017944906641867216
Total Length of Bwd Packets,0.017870712725444965
Fwd Packet Length Mean,0.017493680436339063
Flow IAT Mean,0.017223799676373736
Fwd Packet Length Min,0.016823215738210474
Total Backward Packets,0.014903486542025012
Fwd IAT Mean,0.013017275305599612
Total Length of Fwd Packets,0.01095819369645707
Fwd Header Length.1,0.01066796594094676
Flow Packets/s,0.009280587008699496
Fwd IAT Max,0.008827822970214897
Subflow Fwd Bytes,0.008827341496875307
Idle Max,0.008669899717492461
Fwd Header Length,0.007497642772974938
Bwd Packet Length Min,0.007074709656338005
Flow IAT Std,0.006562138305320375
Fwd IAT Total,0.006363890202391888
Total Fwd Packets,0.005944197843792442
Fwd Packet Length Max,0.005465193984530564
Down/Up Ratio,0.005381826394692734
Fwd IAT Min,0.005229261425131968
FIN Flag Count,0.005154267889540225
Subflow Fwd Packets,0.00466076338350845
Fwd Packet Length Std,0.00434340514952759
act_data_pkt_fwd,0.004333018760713054
Subflow Bwd Packets,0.004332567173926271
Idle Mean,0.0042508290803652754
Idle Min,0.004247390671150073
Flow IAT Max,0.003947270933472253
Fwd Packets/s,0.0038023479695009576
URG Flag Count,0.0037731152052744806
min_seg_size_forward,0.0037218962633675523
Flow IAT Min,0.0033226680621951314
Active Mean,0.0031938247528019003
Flow Duration,0.0029708189359391366
Fwd IAT Std,0.0021173053191519777
Active Max,0.0020780549015882235
Bwd IAT Max,0.0018248622389584043
Bwd IAT Std,0.0017513612994604548
Bwd IAT Min,0.001636735213975865
ACK Flag Count,0.0010014447161229378
SYN Flag Count,0.0009630341586301528
Active Std,0.0009447805894628905
PSH Flag Count,0.0009423418781066682
Bwd IAT Mean,0.000938408355161072
Bwd IAT Total,0.0007585625149046406
Active Min,0.0006837238535488758
Fwd PSH Flags,0.0006831729171121152
Idle Std,0.00036181881331440326
ECE Flag Count,7.793343557640519e-07
RST Flag Count,3.92838267453973e-07
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
Fwd Avg Bulk Rate,0.0
