Feature,Mean,Median,Std,Min,Max
Flow Duration,6239021.15849615,6044881.0,4363070.18027597,1.0,102480699.0
Fwd IAT Total,6238150.878689064,6044861.0,4362938.307630991,0.0,102000000.0
Flow IAT Max,6235477.0496259555,6043704.0,4337309.03249867,1.0,95800000.0
Fwd IAT Max,6234787.001342723,6043026.0,4337984.094025701,0.0,95800000.0
Idle Max,5219179.63365577,6043704.0,5200468.648014548,0.0,95800000.0
Idle Mean,5215135.022360452,6043704.0,5153527.16929748,0.0,95800000.0
Idle Min,5211101.492724632,6043674.0,5136543.789931735,0.0,95800000.0
Fwd IAT Std,3341479.2588050603,3256196.168,2313284.4182606856,0.0,57500000.0
Flow IAT Std,3341004.476689227,3256196.168,2306475.7950973655,0.0,57500000.0
Fwd IAT Mean,1809819.8792026995,1731296.667,1296544.1949896163,0.0,40700000.0
Flow IAT Mean,1809366.2171778001,1731296.667,1293380.8332356059,0.666666667,40700000.0
Flow Bytes/s,37674.42706630799,4.462321828,2020427.9645337726,0.221218089,276000000.0
Idle Std,5713.424492368399,0.0,557275.2497797982,0.0,64100000.0
Flow IAT Min,5372.720795769052,3.0,247204.4825203297,0.0,22600000.0
Fwd IAT Min,5370.146247225495,3.0,247204.0032513422,0.0,22600000.0
Packet Length Variance,1672.857569358769,0.0,41338.646939418424,0.0,1390154.329
Active Mean,1497.6066094867508,711.0,34151.97870420603,0.0,4568794.0
Active Max,1497.6066094867508,711.0,34151.97870420603,0.0,4568794.0
Active Min,1497.6066094867508,711.0,34151.97870420603,0.0,4568794.0
Bwd IAT Total,815.3577946455484,0.0,53666.426613727075,0.0,6171904.0
Bwd IAT Max,802.3554928342422,0.0,53457.09974735377,0.0,6161828.0
Flow Packets/s,423.7332145305575,0.743786823,17964.10754492483,0.036869681,2000000.0
Bwd IAT Std,348.1574068308717,0.0,24973.591805268235,0.0,3078935.554
Fwd Packets/s,272.19722490454853,0.743604168,11444.726569071518,0.036869681,1500000.0
Init_Win_bytes_forward,263.79700216479876,256.0,249.15342435211014,0.0,8192.0
Bwd IAT Mean,158.57873369342067,0.0,11887.613553850435,0.0,1542459.75
Bwd Packets/s,151.5359896189091,0.0,7068.524227982879,0.0,1000000.0
Fwd Header Length,90.42512262625709,100.0,11.499196517184915,20.0,192.0
Fwd Header Length.1,90.42512262625709,100.0,11.499196517184915,20.0,192.0
Subflow Fwd Bytes,27.126627024360836,30.0,3.473754402867623,6.0,62.0
Total Length of Fwd Packets,27.126627024360836,30.0,3.473754402867623,6.0,62.0
min_seg_size_forward,20.0,20.0,0.0,20.0,20.0
Total Length of Bwd Packets,11.732469240676295,0.0,346.41493005913054,0.0,11601.0
Subflow Bwd Bytes,11.732469240676295,0.0,346.41493005913054,0.0,11601.0
Max Packet Length,10.099060093716604,6.0,97.64786157156287,6.0,2920.0
Average Packet Size,8.783781985754036,7.2,34.46113507747024,3.0,1057.0
Packet Length Mean,7.206339686302167,6.0,29.874454908950625,2.0,968.9166667
