Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,True_Label,Predicted_Label,Original_Label
16975,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,1767.30486,294.55081,4243.75,7130.825262,14915,3,16975,4243.75,7130.825262,14915,3,0,0.0,0.0,0,0,0,0,0,0,100,0,294.55081,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,ATTACK,BENIGN,DDoS
9812140,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.057437012,0.509572835,2453035.0,4903395.491,9808128,11,9812140,2453035.0,4903395.491,9808128,11,0,0.0,0.0,0,0,0,0,0,0,100,0,0.509572835,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,4012.0,0.0,4012,4012,9808128.0,0.0,9808128,9808128,ATTACK,BENIGN,DDoS
7684812,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.123043218,0.520507203,2561604.0,4434230.454,7681812,1,7684812,2561604.0,4434230.454,7681812,1,0,0.0,0.0,0,0,0,0,0,0,80,0,0.520507203,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,3000.0,0.0,3000,3000,7681812.0,0.0,7681812,7681812,ATTACK,BENIGN,DDoS
5013771,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,4.786816151,0.797802692,1671257.0,2893971.979,5012928,316,5013771,1671257.0,2893971.979,5012928,316,0,0.0,0.0,0,0,0,0,0,0,80,0,0.797802692,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,843.0,0.0,843,843,5012928.0,0.0,5012928,5012928,ATTACK,BENIGN,DDoS
761019,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,39.42082918,6.570138196,190254.75,379181.1217,759026,3,761019,190254.75,379181.1217,759026,3,0,0.0,0.0,0,0,0,0,0,0,100,0,6.570138196,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,ATTACK,BENIGN,DDoS
3083900,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,7.782353513,1.297058919,1027966.667,1780487.031,3083896,1,3083900,1027966.667,1780487.031,3083896,1,0,0.0,0.0,0,0,0,0,0,0,80,0,1.297058919,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,ATTACK,BENIGN,DDoS
9994742,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.00157823,0.500263038,2498685.5,4996049.022,9992759,3,9994742,2498685.5,4996049.022,9992759,3,0,0.0,0.0,0,0,0,0,0,0,100,0,0.500263038,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1983.0,0.0,1983,1983,9992759.0,0.0,9992759,9992759,ATTACK,BENIGN,DDoS
7267258,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.30248355,0.550413925,2422419.333,4195206.901,7266627,240,7267258,2422419.333,4195206.901,7266627,240,0,0.0,0.0,0,0,0,0,0,0,80,0,0.550413925,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,631.0,0.0,631,631,7266627.0,0.0,7266627,7266627,ATTACK,BENIGN,DDoS
5455893,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,4.398913248,0.733152208,1818631.0,3149107.429,5454907,2,5455893,1818631.0,3149107.429,5454907,2,0,0.0,0.0,0,0,0,0,0,0,80,0,0.733152208,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,986.0,0.0,986,986,5454907.0,0.0,5454907,5454907,ATTACK,BENIGN,DDoS
3308895,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,7.253176665,1.208862777,1102965.0,1909858.814,3308280,244,3308895,1102965.0,1909858.814,3308280,244,0,0.0,0.0,0,0,0,0,0,0,80,0,1.208862777,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,ATTACK,BENIGN,DDoS
