Feature,Model_Importance,Detected_Mean,Missed_Mean,Relative_Difference
URG Flag Count,0.0037731152052744806,0.0,8.220754665278273e-05,82207.54665278272
Min Packet Length,0.043150376689761,0.001606122159761916,5.988162113281999,3727.333084475076
Fwd Packet Length Min,0.016823215738210474,0.001606122159761916,5.988162113281999,3727.333084475076
Flow IAT Min,0.0033226680621951314,18.647629395184783,5372.720795769052,287.1181667450601
Bwd Packet Length Min,0.007074709656338005,0.012376588407577117,1.5551749650617928,124.65456563580379
Fwd IAT Min,0.005229261425131968,346.56565417985416,5370.146247225495,14.495321542809611
Fwd Packets/s,0.0038023479695009576,18.70395318464347,272.19722490454853,13.552924839144595
Flow Packets/s,0.009280587008699496,50.52702983816702,423.7332145305575,7.386268020905761
Bwd Packets/s,0.08268677773631779,31.823076653598736,151.5359896189091,3.7618271251598396
ACK Flag Count,0.0010014447161229378,0.28792101658084934,0.9990135094401666,2.4697484707230157
Init_Win_bytes_backward,0.022854741119392202,228.9384319838758,-0.06713616309977256,1.000293249855508
Packet Length Variance,0.03041712212143778,6695477.029467412,1672.857569358769,0.9997501511002134
Bwd Packet Length Std,0.08061977933139525,3308.7282422336125,0.9850234779356313,0.9997022954419882
Bwd Packet Length Max,0.03763723541852098,7245.4374320941,4.118132244540049,0.9994316240690592
Packet Length Std,0.029919955026855852,2481.8075161459524,1.7797495956998053,0.999282881696054
Idle Std,0.00036181881331440326,7039145.291070276,5713.424492368399,0.9991883354787949
Bwd IAT Mean,0.000938408355161072,176071.3368976436,158.57873369342067,0.999099349522253
Bwd IAT Std,0.0017513612994604548,344287.93956633465,348.1574068308717,0.9989887609561043
Total Length of Bwd Packets,0.017870712725444965,11601.017761821531,11.732469240676295,0.9989886689700376
Subflow Bwd Bytes,0.04101920426179204,11601.017761821531,11.732469240676295,0.9989886689700376
Bwd IAT Max,0.0018248622389584043,691732.8229171587,802.3554928342422,0.9988400789058244
Bwd IAT Total,0.0007585625149046406,698663.4694600595,815.3577946455484,0.9988329749152668
Avg Bwd Segment Size,0.03133070989506195,2329.380496123955,2.8450245839476063,0.9987786346671655
Bwd Packet Length Mean,0.03738180452842801,2329.380496123955,2.8450245839476063,0.9987786346671655
PSH Flag Count,0.0009423418781066682,0.7141417481537469,0.0009864905598333928,0.9986186334001586
Max Packet Length,0.04271944535567991,7245.439038216259,10.099060093716604,0.9986061493249135
Fwd Packet Length Std,0.00434340514952759,8.995289935223187,0.013512310584632668,0.9984978459081992
Bwd Header Length,0.017944906641867216,114.36912466342292,0.23467514317814375,0.9979480900560644
Total Backward Packets,0.014903486542025012,5.11984505645047,0.01096100622037103,0.9978591134892998
Subflow Bwd Packets,0.004332567173926271,5.11984505645047,0.01096100622037103,0.9978591134892998
Down/Up Ratio,0.005381826394692734,0.9805848174217016,0.002849861617296468,0.9970937112590796
Active Max,0.0020780549015882235,314985.0878643299,1497.6066094867508,0.9952454682231409
Active Mean,0.0031938247528019003,314985.0878643299,1497.6066094867508,0.9952454682231409
Active Min,0.0006837238535488758,314985.0878643299,1497.6066094867508,0.9952454682231409
Packet Length Mean,0.08781551037217283,1155.3436415938006,7.206339686302167,0.9937626006429093
Average Packet Size,0.05691825483900865,1289.254940474609,8.783781985754036,0.9931869316835709
Bwd IAT Min,0.001636735213975865,120.80643078715732,2.3660428027292904,0.9804145955782907
Init_Win_bytes_forward,0.04013243131482631,5966.694789550758,263.79700216479876,0.9557884203114038
Idle Max,0.008669899717492461,20893740.978758246,5219179.63365577,0.7502036787494455
Flow Duration,0.0029708189359391366,23142988.773316327,6239021.15849615,0.7304141993237413
Fwd IAT Total,0.006363890202391888,22452273.712960776,6238150.878689064,0.7221595033785805
Flow IAT Max,0.003947270933472253,21388259.705607254,6235477.0496259555,0.7084626269059547
Fwd IAT Max,0.008827822970214897,20899783.664005544,6234787.001342723,0.7016817445780299
Fwd Packet Length Max,0.005465193984530564,19.996252381627222,6.01803085523251,0.699042063428796
Idle Mean,0.0042508290803652754,15916295.972695922,5215135.022360452,0.6723399067655621
FIN Flag Count,0.005154267889540225,0.000267687026626986,0.0001096100622037103,0.5905268398259385
Fwd IAT Std,0.0021173053191519777,7752733.588932584,3341479.2588050603,0.5689934111014482
Idle Min,0.004247390671150073,10938876.032185428,5211101.492724632,0.5236163681358101
Flow Bytes/s,0.020274569637053413,72804.78421710044,37674.42706630799,0.4825281405413537
Flow IAT Std,0.006562138305320375,6140742.019886622,3341004.476689227,0.45592821423380475
Fwd IAT Mean,0.013017275305599612,3144483.8946568496,1809819.8792026995,0.42444612857519454
Fwd Packet Length Mean,0.017493680436339063,8.203513678191632,6.001444417042173,0.2684300102692642
Avg Fwd Segment Size,0.020353370697172968,8.203513678191632,6.001444417042173,0.2684300102692642
Subflow Fwd Bytes,0.008827341496875307,34.68216102161966,27.126627024360836,0.2178507271311934
Total Length of Fwd Packets,0.01095819369645707,34.68216102161966,27.126627024360836,0.2178507271311934
