Feature,Detected_Mean,Missed_Mean,Detected_Median,Missed_Median,Detected_Std,Missed_Std,Relative_Difference
URG Flag Count,0.0,8.220754665278273e-05,0.0,0.0,0.0,0.009066589278343279,82207.54665278272
Min Packet Length,0.001606122159761916,5.988162113281999,0.0,6.0,0.09815449574418487,0.2662501216647026,3727.333084475076
Fwd Packet Length Min,0.001606122159761916,5.988162113281999,0.0,6.0,0.09815449574418487,0.2662501216647026,3727.333084475076
Flow IAT Min,18.647629395184783,5372.720795769052,4.0,3.0,158.14594902733046,247204.4825203297,287.1181667450601
Bwd Packet Length Min,0.012376588407577117,1.5551749650617928,0.0,0.0,0.27222695939920033,46.06326999436678,124.65456563580379
Fwd IAT Min,346.56565417985416,5370.146247225495,49.0,3.0,3554.2900930853802,247204.0032513422,14.495321542809611
Fwd Packets/s,18.70395318464347,272.19722490454853,2.880427686,0.743604168,48.630637455395714,11444.726569071518,13.552924839144595
Flow Packets/s,50.52702983816702,423.7332145305575,7.871172519,0.743786823,133.52876874732186,17964.10754492483,7.386268020905761
Bwd Packets/s,31.823076653598736,151.5359896189091,4.937588877,0.0,85.56994213907525,7068.524227982879,3.7618271251598396
ACK Flag Count,0.28792101658084934,0.9990135094401666,0.0,1.0,0.4527976735670328,0.03139338150955661,2.4697484707230157
Init_Win_bytes_backward,228.9384319838758,-0.06713616309977256,229.0,-1.0,3.7625890035270873,14.617642671315412,1.000293249855508
Packet Length Variance,6695477.029467412,1672.857569358769,5696664.423,0.0,4028828.4119867333,41338.646939418424,0.9997501511002134
Bwd Packet Length Std,3308.7282422336125,0.9850234779356313,3173.373883,0.0,1227.806976235485,33.23439644956312,0.9997022954419882
Bwd Packet Length Max,7245.4374320941,4.118132244540049,7215.0,0.0,2372.113685707954,97.89860855523274,0.9994316240690592
Packet Length Std,2481.8075161459524,1.7797495956998053,2386.768615,0.0,732.9079337802782,40.86240100503039,0.999282881696054
Idle Std,7039145.291070276,5713.424492368399,0.0,0.0,17153952.3676539,557275.2497797982,0.9991883354787949
Bwd IAT Mean,176071.3368976436,158.57873369342067,143173.4,0.0,160014.2496186383,11887.613553850435,0.999099349522253
Bwd IAT Std,344287.93956633465,348.1574068308717,289472.5794,0.0,305723.24035234656,24973.591805268235,0.9989887609561043
Total Length of Bwd Packets,11601.017761821531,11.732469240676295,11607.0,0.0,190.19019656046427,346.41493005913054,0.9989886689700376
Subflow Bwd Bytes,11601.017761821531,11.732469240676295,11607.0,0.0,190.19019656046427,346.41493005913054,0.9989886689700376
Bwd IAT Max,691732.8229171587,802.3554928342422,590156.0,0.0,605940.4436797816,53457.09974735377,0.9988400789058244
Bwd IAT Total,698663.4694600595,815.3577946455484,596063.0,0.0,605488.3118718939,53666.426613727075,0.9988329749152668
Avg Bwd Segment Size,2329.380496123955,2.8450245839476063,2321.4,0.0,398.1007522458646,63.348904062633885,0.9987786346671655
Bwd Packet Length Mean,2329.380496123955,2.8450245839476063,2321.4,0.0,398.1007522458646,63.348904062633885,0.9987786346671655
PSH Flag Count,0.7141417481537469,0.0009864905598333928,1.0,0.0,0.45182576979320516,0.03139338150955661,0.9986186334001586
Max Packet Length,7245.439038216259,10.099060093716604,7215.0,6.0,2372.1087818807046,97.64786157156287,0.9986061493249135
Fwd Packet Length Std,8.995289935223187,0.013512310584632668,10.26320288,0.0,2.201249345915868,0.33230244122132074,0.9984978459081992
Bwd Header Length,114.36912466342292,0.23467514317814375,112.0,0.0,16.986291728712054,5.3400178759157555,0.9979480900560644
Total Backward Packets,5.11984505645047,0.01096100622037103,5.0,0.0,0.8461916820243686,0.2480669317066977,0.9978591134892998
Subflow Bwd Packets,5.11984505645047,0.01096100622037103,5.0,0.0,0.8461916820243686,0.2480669317066977,0.9978591134892998
Down/Up Ratio,0.9805848174217016,0.002849861617296468,1.0,0.0,0.7523157446325963,0.07864487452006592,0.9970937112590796
Active Max,314985.0878643299,1497.6066094867508,0.0,711.0,963675.4564938965,34151.97870420603,0.9952454682231409
Active Mean,314985.0878643299,1497.6066094867508,0.0,711.0,963675.4564938965,34151.97870420603,0.9952454682231409
Active Min,314985.0878643299,1497.6066094867508,0.0,711.0,963675.4564938965,34151.97870420603,0.9952454682231409
Packet Length Mean,1155.3436415938006,7.206339686302167,1163.3,6.0,236.67723101481522,29.874454908950625,0.9937626006429093
